[ 2025-08-08 02:03:25,650 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-08-08 02:03:26,066 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-08-08 02:03:26,564 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-08 02:03:26,571 ] 107 dagshub - INFO - Accessing as anmolzzabc100
[ 2025-08-08 02:03:27,084 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/anmolzzabc100/networksecurity "HTTP/1.1 200 OK"
[ 2025-08-08 02:03:27,582 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-08 02:03:27,595 ] 107 dagshub - INFO - Initialized MLflow to track repo "anmolzzabc100/networksecurity"
[ 2025-08-08 02:03:27,596 ] 107 dagshub - INFO - Repository anmolzzabc100/networksecurity initialized!
[ 2025-08-08 02:03:27,597 ] 16 root - INFO - Initiate the data ingestion
[ 2025-08-08 02:03:30,453 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-08 02:03:30,453 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-08 02:03:30,454 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-08 02:03:30,559 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-08 02:03:30,560 ] 18 root - INFO - Data Initiation Completed
[ 2025-08-08 02:03:30,570 ] 22 root - INFO - Initiate the data Validation
[ 2025-08-08 02:03:30,678 ] 32 root - INFO - Required number of columns:2
[ 2025-08-08 02:03:30,678 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-08 02:03:30,678 ] 32 root - INFO - Required number of columns:2
[ 2025-08-08 02:03:30,678 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-08 02:03:30,998 ] 24 root - INFO - data Validation Completed
[ 2025-08-08 02:03:30,999 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-08 02:03:30,999 ] 65 root - INFO - Starting data transformation
[ 2025-08-08 02:03:31,055 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-08 02:03:31,056 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-08 02:03:31,086 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-08 02:03:31,091 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-08 02:03:31,094 ] 30 root - INFO - data transformation completed
[ 2025-08-08 02:03:31,094 ] 31 root - INFO - Model Training sstared
